accession,uid,voucher,subname,subtype,source_identifier,institution_code,specimen_id,specimen_idA,specimen_idB,definition
KR231856,829625030,JM8-12,JM8-12,specimen_voucher,JM8-12,,JM8-12,,,"Erebia alberganus voucher JM8-12 wingless (wgl) gene, partial cds"
KX241499,1191444090,SIMGT1-05,SIMGT1-05|Slovenia: Mt. Mangart,specimen_voucher|country,SIMGT1-05,,SIMGT1-05,,,"Erebia calcaria voucher SIMGT1-05 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial"
KR139159,875843355,JM9-3,JM9-3,specimen_voucher,JM9-3,,JM9-3,,,"Erebia callias voucher JM9-3 wingless (wgl) gene, partial cds"
KR139062,875842185,JM9-3,JM9-3,specimen_voucher,JM9-3,,JM9-3,,,"Erebia callias voucher JM9-3 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138954,875841593,JM9-3,JM9-3,specimen_voucher,JM9-3,,JM9-3,,,"Erebia callias voucher JM9-3 ribosomal protein S5 (RpS5) gene, partial cds"
KR138824,875840938,JM9-3,JM9-3,specimen_voucher,JM9-3,,JM9-3,,,"Erebia callias voucher JM9-3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
MN752742,1852459015,NW162-18,NW162_18,specimen_voucher,NW162_18,,NW162_18,,,"Erebia cassioides voucher NW162_18 elongation factor 1 alpha (EF1alpha) gene, partial cds"
KR139071,875842239,NW162-18,NW162-18,specimen_voucher,NW162-18,,NW162-18,,,"Erebia cassioides voucher NW162-18 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138966,875841650,NW162-18,NW162-18,specimen_voucher,NW162-18,,NW162-18,,,"Erebia cassioides voucher NW162-18 ribosomal protein S5 (RpS5) gene, partial cds"
KR138836,875841001,NW162-18,NW162-18,specimen_voucher,NW162-18,,NW162-18,,,"Erebia cassioides voucher NW162-18 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KR231857,829625032,NW162-18,NW162-18,specimen_voucher,NW162-18,,NW162-18,,,"Erebia cassioides voucher NW162-18 wingless (wgl) gene, partial cds"
MN829479,1852459278,XM00001,"XM00001|adult|Italy: Verbano-Cusio-Ossola, Antronapiana|Xavier Merit",specimen_voucher|dev_stage|country|collected_by,XM00001,,XM00001,,,"Erebia christi voucher XM00001 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
MN829480,1852459280,RW80003,"RW80003|male|adult|Austria: Salzburg, Rotgueldensee, Radstaedter Tauern (1700-1900 m)|21-Jul-1980|Robert Westphal",specimen_voucher|sex|dev_stage|country|collection_date|collected_by,RW80003,,RW80003,,,"Erebia claudina voucher RW80003 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
FJ663475,227435883,2005-LOWA-750,2005-LOWA-750|Erebia cyclopius|Russia: Buryatia|50.90 N 106.00 E|30-May-1992|Vladimir Lukhtanov|Vladimir A. Lukhtanov,specimen_voucher|old_name|country|lat_lon|collection_date|collected_by|identified_by,2005-LOWA-750,,2005-LOWA-750,,,"Erebia cyclopius voucher 2005-LOWA-750 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KR139148,875842993,IS-137,IS-137,specimen_voucher,IS-137,,IS-137,,,"Erebia dabanensis voucher IS-137 wingless (wgl) gene, partial cds"
KR139034,875842034,IS-137,IS-137,specimen_voucher,IS-137,,IS-137,,,"Erebia dabanensis voucher IS-137 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138919,875841419,IS-137,IS-137,specimen_voucher,IS-137,,IS-137,,,"Erebia dabanensis voucher IS-137 ribosomal protein S5 (RpS5) gene, partial cds"
KR139165,875843524,PM11-03,PM11-03,specimen_voucher,PM11-03,,PM11-03,,,"Erebia disa voucher PM11-03 wingless (wgl) gene, partial cds"
KR139075,875842255,PM11-03,PM11-03,specimen_voucher,PM11-03,,PM11-03,,,"Erebia disa voucher PM11-03 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138971,875841675,PM11-03,PM11-03,specimen_voucher,PM11-03,,PM11-03,,,"Erebia disa voucher PM11-03 ribosomal protein S5 (RpS5) gene, partial cds"
KR138841,875841023,PM11-03,PM11-03,specimen_voucher,PM11-03,,PM11-03,,,"Erebia disa voucher PM11-03 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KR139048,875842115,JM12-1,JM12-1,specimen_voucher,JM12-1,,JM12-1,,,"Erebia discoidalis voucher JM12-1 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138937,875841509,JM12-1,JM12-1,specimen_voucher,JM12-1,,JM12-1,,,"Erebia discoidalis voucher JM12-1 ribosomal protein S5 (RpS5) gene, partial cds"
KR138807,875840369,JM12-1,JM12-1,specimen_voucher,JM12-1,,JM12-1,,,"Erebia discoidalis voucher JM12-1 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KR231860,829625038,JM12-1,JM12-1,specimen_voucher,JM12-1,,JM12-1,,,"Erebia discoidalis voucher JM12-1 wingless (wgl) gene, partial cds"
KR139106,875842426,CB4-6,CB4-6,specimen_voucher,CB4-6,,CB4-6,,,"Erebia edda voucher CB4-6 wingless (wgl) gene, partial cds"
KR138998,875841850,CB4-6,CB4-6,specimen_voucher,CB4-6,,CB4-6,,,"Erebia edda voucher CB4-6 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138879,875841230,CB4-6,CB4-6,specimen_voucher,CB4-6,,CB4-6,,,"Erebia edda voucher CB4-6 ribosomal protein S5 (RpS5) gene, partial cds"
KR138736,875837047,CB4-6,CB4-6,specimen_voucher,CB4-6,,CB4-6,,,"Erebia edda voucher CB4-6 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
HM873257,311045641,MM06449,"MM06449|Finland|66.226 N 29.222 E|14-Jun-2007|Marko Mutanen, Anttoni Mutanen, Nestori Mutanen",specimen_voucher|country|lat_lon|collection_date|collected_by,MM06449,,MM06449,,,"Erebia embla voucher MM06449 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KR139113,875842451,EW24-2,EW24-2,specimen_voucher,EW24-2,,EW24-2,,,"Erebia epiphron voucher EW24-2 wingless (wgl) gene, partial cds"
KR139006,875841891,EW24-2,EW24-2,specimen_voucher,EW24-2,,EW24-2,,,"Erebia epiphron voucher EW24-2 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138888,875841275,EW24-2,EW24-2,specimen_voucher,EW24-2,,EW24-2,,,"Erebia epiphron voucher EW24-2 ribosomal protein S5 (RpS5) gene, partial cds"
KR138751,875837690,EW24-2,EW24-2,specimen_voucher,EW24-2,,EW24-2,,,"Erebia epiphron voucher EW24-2 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
MN752833,1852459197,IS-106,IS_106,specimen_voucher,IS_106,,IS_106,,,"Erebia epistygne voucher IS_106 wingless (Wgl) gene, partial cds"
MN752780,1852459091,IS-106,IS_106,specimen_voucher,IS_106,,IS_106,,,"Erebia epistygne voucher IS_106 glyceraldhyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
MN752753,1852459037,IS-106,IS_106,specimen_voucher,IS_106,,IS_106,,,"Erebia epistygne voucher IS_106 ribosomal protein S5 gene, partial cds"
MN752709,1852458949,IS-106,IS_106,specimen_voucher,IS_106,,IS_106,,,"Erebia epistygne voucher IS_106 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KR139108,875842435,CB7-1,CB7-1,specimen_voucher,CB7-1,,CB7-1,,,"Erebia eriphyle voucher CB7-1 wingless (wgl) gene, partial cds"
KR139000,875841860,CB7-1,CB7-1,specimen_voucher,CB7-1,,CB7-1,,,"Erebia eriphyle voucher CB7-1 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138881,875841240,CB7-1,CB7-1,specimen_voucher,CB7-1,,CB7-1,,,"Erebia eriphyle voucher CB7-1 ribosomal protein S5 (RpS5) gene, partial cds"
KR138738,875837192,CB7-1,CB7-1,specimen_voucher,CB7-1,,CB7-1,,,"Erebia eriphyle voucher CB7-1 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
MN752733,1852458997,NW162-17,NW162_17,specimen_voucher,NW162_17,,NW162_17,,,"Erebia euryale voucher NW162_17 elongation factor 1 alpha (EF1alpha) gene, partial cds"
KR139070,875842234,NW162-17,NW162-17,specimen_voucher,NW162-17,,NW162-17,,,"Erebia euryale voucher NW162-17 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138965,875841645,NW162-17,NW162-17,specimen_voucher,NW162-17,,NW162-17,,,"Erebia euryale voucher NW162-17 ribosomal protein S5 (RpS5) gene, partial cds"
KR138835,875840996,NW162-17,NW162-17,specimen_voucher,NW162-17,,NW162-17,,,"Erebia euryale voucher NW162-17 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KR231863,829625044,NW162-17,NW162-17,specimen_voucher,NW162-17,,NW162-17,,,"Erebia euryale voucher NW162-17 wingless (wgl) gene, partial cds"
KR139107,875842430,CB4-9,CB4-9,specimen_voucher,CB4-9,,CB4-9,,,"Erebia fasciata voucher CB4-9 wingless (wgl) gene, partial cds"
KR138999,875841855,CB4-9,CB4-9,specimen_voucher,CB4-9,,CB4-9,,,"Erebia fasciata voucher CB4-9 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138880,875841235,CB4-9,CB4-9,specimen_voucher,CB4-9,,CB4-9,,,"Erebia fasciata voucher CB4-9 ribosomal protein S5 (RpS5) gene, partial cds"
KR138737,875837052,CB4-9,CB4-9,specimen_voucher,CB4-9,,CB4-9,,,"Erebia fasciata voucher CB4-9 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KR139126,875842515,HW1-6,HW1-6,specimen_voucher,HW1-6,,HW1-6,,,"Erebia flavofasciata voucher HW1-6 wingless (wgl) gene, partial cds"
KR138899,875841329,HW1-6,HW1-6,specimen_voucher,HW1-6,,HW1-6,,,"Erebia flavofasciata voucher HW1-6 ribosomal protein S5 (RpS5) gene, partial cds"
KR138764,875838427,HW1-6,HW1-6,specimen_voucher,HW1-6,,HW1-6,,,"Erebia flavofasciata voucher HW1-6 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KR139137,875842654,HW5-3,HW5-3,specimen_voucher,HW5-3,,HW5-3,,,"Erebia gorge voucher HW5-3 wingless (wgl) gene, partial cds"
KR139025,875841989,HW5-3,HW5-3,specimen_voucher,HW5-3,,HW5-3,,,"Erebia gorge voucher HW5-3 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138911,875841385,HW5-3,HW5-3,specimen_voucher,HW5-3,,HW5-3,,,"Erebia gorge voucher HW5-3 ribosomal protein S5 (RpS5) gene, partial cds"
KR138779,875839126,HW5-3,HW5-3,specimen_voucher,HW5-3,,HW5-3,,,"Erebia gorge voucher HW5-3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KP871128,870902616,Rvcoll.140711ZG95,"Rvcoll. 140711ZG95|Spain: Aragon, Huesca, Ibon de Asnos, Panticosa|42.692 N 0.27 W|21-Jul-2002|Montagud, Sergio|Sergio Montagud",specimen_voucher|country|lat_lon|collection_date|collected_by|identified_by,Rvcoll. 140711ZG95,,Rvcoll. 140711ZG95,,,"Erebia gorgone voucher Rvcoll. 140711ZG95 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KR139045,875842100,JM10-16,JM10-16,specimen_voucher,JM10-16,,JM10-16,,,"Erebia hispania voucher JM10-16 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138932,875841484,JM10-16,JM10-16,specimen_voucher,JM10-16,,JM10-16,,,"Erebia hispania voucher JM10-16 ribosomal protein S5 (RpS5) gene, partial cds"
KR138803,875839983,JM10-16,JM10-16,specimen_voucher,JM10-16,,JM10-16,,,"Erebia hispania voucher JM10-16 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KR231866,829625050,JM10-16,JM10-16,specimen_voucher,JM10-16,,JM10-16,,,"Erebia hispania voucher JM10-16 wingless (wgl) gene, partial cds"
MN752839,1852459209,JM9-11,JM9_11,specimen_voucher,JM9_11,,JM9_11,,,"Erebia jeniseiensis voucher JM9_11 wingless (Wgl) gene, partial cds"
MN752756,1852459043,JM9-11,JM9_11,specimen_voucher,JM9_11,,JM9_11,,,"Erebia jeniseiensis voucher JM9_11 ribosomal protein S5 gene, partial cds"
MN752710,1852458951,JM9-11,JM9_11,specimen_voucher,JM9_11,,JM9_11,,,"Erebia jeniseiensis voucher JM9_11 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KR139084,875842323,CB11-1,CB11-1,specimen_voucher,CB11-1,,CB11-1,,,"Erebia lefebvrei voucher CB11-1 wingless (wgl) gene, partial cds"
KR138976,875841739,CB11-1,CB11-1,specimen_voucher,CB11-1,,CB11-1,,,"Erebia lefebvrei voucher CB11-1 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138857,875841127,CB11-1,CB11-1,specimen_voucher,CB11-1,,CB11-1,,,"Erebia lefebvrei voucher CB11-1 ribosomal protein S5 (RpS5) gene, partial cds"
KR138713,875836097,CB11-1,CB11-1,specimen_voucher,CB11-1,,CB11-1,,,"Erebia lefebvrei voucher CB11-1 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
DQ338639,85376719,EW5-19,EW5-19|Eukaryota; Metazoa; Arthropoda; Tracheata; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Nymphalidae; Satyrinae; Satyrini; Erebiina; Erebia,specimen_voucher|old_lineage,EW5-19,,EW5-19,,,"Erebia ligea voucher EW5-19 wingless (wgl) gene, partial cds"
DQ338779,85013898,EW5-19,EW5-19|Eukaryota; Metazoa; Arthropoda; Tracheata; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Nymphalidae; Satyrinae; Satyrini; Erebiina; Erebia,specimen_voucher|old_lineage,EW5-19,,EW5-19,,,"Erebia ligea voucher EW5-19 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
DQ338922,85013600,EW5-19,EW5-19|Eukaryota; Metazoa; Arthropoda; Tracheata; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Nymphalidae; Satyrinae; Satyrini; Erebiina; Erebia,specimen_voucher|old_lineage,EW5-19,,EW5-19,,,"Erebia ligea voucher EW5-19 elongation factor-1 alpha (EF1-alpha) gene, partial cds"
KR139110,875842444,CB9-3,CB9-3,specimen_voucher,CB9-3,,CB9-3,,,"UNVERIFIED: Erebia manto voucher CB9-3 wingless-like (wgl) gene, partial sequence"
KR139002,875841870,CB9-3,CB9-3,specimen_voucher,CB9-3,,CB9-3,,,"Erebia manto voucher CB9-3 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138883,875841250,CB9-3,CB9-3,specimen_voucher,CB9-3,,CB9-3,,,"Erebia manto voucher CB9-3 ribosomal protein S5 (RpS5) gene, partial cds"
KR138740,875837204,CB9-3,CB9-3,specimen_voucher,CB9-3,,CB9-3,,,"Erebia manto voucher CB9-3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KR139139,875842714,IS-102,IS-102,specimen_voucher,IS-102,,IS-102,,,"Erebia medusa voucher IS-102 wingless (wgl) gene, partial cds"
KR138914,875841397,IS-102,IS-102,specimen_voucher,IS-102,,IS-102,,,"Erebia medusa voucher IS-102 ribosomal protein S5 (RpS5) gene, partial cds"
KR138784,875839402,IS-102,IS-102,specimen_voucher,IS-102,,IS-102,,,"Erebia medusa voucher IS-102 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KR139109,875842440,CB9-2,CB9-2,specimen_voucher,CB9-2,,CB9-2,,,"UNVERIFIED: Erebia melampus voucher CB9-2 wingless-like (wgl) gene, partial sequence"
KR139001,875841865,CB9-2,CB9-2,specimen_voucher,CB9-2,,CB9-2,,,"Erebia melampus voucher CB9-2 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138882,875841245,CB9-2,CB9-2,specimen_voucher,CB9-2,,CB9-2,,,"Erebia melampus voucher CB9-2 ribosomal protein S5 (RpS5) gene, partial cds"
KR138739,875837199,CB9-2,CB9-2,specimen_voucher,CB9-2,,CB9-2,,,"Erebia melampus voucher CB9-2 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
MN752850,1852459231,JM4-3,JM4_3,specimen_voucher,JM4_3,,JM4_3,,,"Erebia melas voucher JM4_3 wingless (Wgl) gene, partial cds"
MN752788,1852459107,JM4-3,JM4_3,specimen_voucher,JM4_3,,JM4_3,,,"Erebia melas voucher JM4_3 glyceraldhyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
MN752755,1852459041,JM4-3,JM4_3,specimen_voucher,JM4_3,,JM4_3,,,"Erebia melas voucher JM4_3 ribosomal protein S5 gene, partial cds"
MN752711,1852458953,JM4-3,JM4_3,specimen_voucher,JM4_3,,JM4_3,,,"Erebia melas voucher JM4_3 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KR139112,875842449,EW24-10,EW24-10,specimen_voucher,EW24-10,,EW24-10,,,"Erebia meolans voucher EW24-10 wingless (wgl) gene, partial cds"
KR138886,875841265,EW24-10,EW24-10,specimen_voucher,EW24-10,,EW24-10,,,"Erebia meolans voucher EW24-10 ribosomal protein S5 (RpS5) gene, partial cds"
KR138749,875837680,EW24-10,EW24-10,specimen_voucher,EW24-10,,EW24-10,,,"Erebia meolans voucher EW24-10 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KR138786,875839415,IS-107,IS-107,specimen_voucher,IS-107,,IS-107,,,"Erebia mnestra voucher IS-107 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KP253390,827521559,TLMF_Lep_12599,TLMF Lep 12599|Erebia montanus|Peter Huemer,specimen_voucher|old_name|identified_by,TLMF Lep 12599,,TLMF Lep 12599,,,"Erebia montanus voucher TLMF Lep 12599 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KR139156,875843212,JM10-14,JM10-14,specimen_voucher,JM10-14,,JM10-14,,,"Erebia neoridas voucher JM10-14 wingless (wgl) gene, partial cds"
KR139044,875842095,JM10-14,JM10-14,specimen_voucher,JM10-14,,JM10-14,,,"Erebia neoridas voucher JM10-14 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138930,875841474,JM10-14,JM10-14,specimen_voucher,JM10-14,,JM10-14,,,"Erebia neoridas voucher JM10-14 ribosomal protein S5 (RpS5) gene, partial cds"
KR138801,875839973,JM10-14,JM10-14,specimen_voucher,JM10-14,,JM10-14,,,"Erebia neoridas voucher JM10-14 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KX044305,1044886875,BC_ZSM_Lep_53286,"BC ZSM Lep 53286|Switzerland: Bern, Berner Alpen, Hohtuerli, Hohtuerli|46.5113 N 7.76984 E|13-Jul-1994|H.-P. Wyman|Andreas Segerer",specimen_voucher|country|lat_lon|collection_date|collected_by|identified_by,BC ZSM Lep 53286,,BC ZSM Lep 53286,,,"Erebia nivalis voucher BC ZSM Lep 53286 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
EU141296,161088959,EW24-7,EW24-7,specimen_voucher,EW24-7,,EW24-7,,,"Erebia oeme voucher EW24-7 CAD (CAD) gene, partial cds"
EU141661,161088851,EW24-7,EW24-7,specimen_voucher,EW24-7,,EW24-7,,,"Erebia oeme voucher EW24-7 ribosomal protein S2 (RpS2) gene, partial cds"
EU141597,161088723,EW24-7,EW24-7,specimen_voucher,EW24-7,,EW24-7,,,"Erebia oeme voucher EW24-7 cytosolic malate dehydrogenase (MDH) gene, partial cds"
EU141532,161088593,EW24-7,EW24-7,specimen_voucher,EW24-7,,EW24-7,,,"Erebia oeme voucher EW24-7 isocitrate dehydrogenase (IDH) gene, partial cds"
EU141479,161088487,EW24-7,EW24-7,specimen_voucher,EW24-7,,EW24-7,,,"Erebia oeme voucher EW24-7 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
EU141375,161088279,EW24-7,EW24-7,specimen_voucher,EW24-7,,EW24-7,,,"Erebia oeme voucher EW24-7 ribosomal protein S5 (RpS5) gene, partial cds"
EU141255,161088167,EW24-7,EW24-7,specimen_voucher,EW24-7,,EW24-7,,,"Erebia oeme voucher EW24-7 arginine kinase (ArgKin) gene, partial cds"
DQ338640,85376721,EW24-7,EW24-7|Eukaryota; Metazoa; Arthropoda; Tracheata; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Nymphalidae; Satyrinae; Satyrini; Erebiina; Erebia,specimen_voucher|old_lineage,EW24-7,,EW24-7,,,"Erebia oeme voucher EW24-7 wingless (wgl) gene, partial cds"
DQ338780,85013900,EW24-7,EW24-7|Eukaryota; Metazoa; Arthropoda; Tracheata; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Nymphalidae; Satyrinae; Satyrini; Erebiina; Erebia,specimen_voucher|old_lineage,EW24-7,,EW24-7,,,"Erebia oeme voucher EW24-7 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
DQ338923,85013602,EW24-7,EW24-7|Eukaryota; Metazoa; Arthropoda; Tracheata; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Nymphalidae; Satyrinae; Satyrini; Erebiina; Erebia,specimen_voucher|old_lineage,EW24-7,,EW24-7,,,"Erebia oeme voucher EW24-7 elongation factor-1 alpha (EF1-alpha) gene, partial cds"
KR139027,875841999,HW6-11,HW6-11,specimen_voucher,HW6-11,,HW6-11,,,"Erebia orientalis voucher HW6-11 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138782,875839141,HW6-11,HW6-11,specimen_voucher,HW6-11,,HW6-11,,,"Erebia orientalis voucher HW6-11 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KR139064,875842195,JM9-6,JM9-6,specimen_voucher,JM9-6,,JM9-6,,,"Erebia ottomana voucher JM9-6 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138956,875841602,JM9-6,JM9-6,specimen_voucher,JM9-6,,JM9-6,,,"Erebia ottomana voucher JM9-6 ribosomal protein S5 (RpS5) gene, partial cds"
KR138826,875840948,JM9-6,JM9-6,specimen_voucher,JM9-6,,JM9-6,,,"Erebia ottomana voucher JM9-6 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KR231878,829625074,JM9-6,JM9-6,specimen_voucher,JM9-6,,JM9-6,,,"Erebia ottomana voucher JM9-6 wingless (wgl) gene, partial cds"
GQ357551,257133751,EW9-4,EW9-4|Eukaryota; Metazoa; Arthropoda; Tracheata; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Nymphalidae; Satyrinae; Satyrini; Erebia,specimen_voucher|old_lineage,EW9-4,,EW9-4,,,"Erebia palarica voucher EW9-4 ribosomal protein S5 (RpS5) gene, partial cds"
GQ357422,257133493,EW9-4,EW9-4|root; cellular organisms; Eukaryota; Metazoa; Arthropoda; Tracheata; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Nymphalidae; Satyrinae; Satyrini; Erebia,specimen_voucher|old_lineage,EW9-4,,EW9-4,,,"Erebia palarica voucher EW9-4 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR139117,875842469,EW9-4,EW9-4,specimen_voucher,EW9-4,,EW9-4,,,"Erebia palarica voucher EW9-4 wingless (wgl) gene, partial cds"
KR138755,875837864,EW9-4,EW9-4,specimen_voucher,EW9-4,,EW9-4,,,"Erebia palarica voucher EW9-4 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KR139076,875842283,AB7-2,AB7-2,specimen_voucher,AB7-2,,AB7-2,,,"Erebia pandrose voucher AB7-2 wingless (wgl) gene, partial cds"
KR138972,875841718,AB7-2,AB7-2,specimen_voucher,AB7-2,,AB7-2,,,"Erebia pandrose voucher AB7-2 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138853,875841111,AB7-2,AB7-2,specimen_voucher,AB7-2,,AB7-2,,,"Erebia pandrose voucher AB7-2 ribosomal protein S5 (RpS5) gene, partial cds"
KR138708,875835959,AB7-2,AB7-2,specimen_voucher,AB7-2,,AB7-2,,,"Erebia pandrose voucher AB7-2 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KR139057,875842160,JM8-13,JM8-13,specimen_voucher,JM8-13,,JM8-13,,,"Erebia pharte voucher JM8-13 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138947,875841560,JM8-13,JM8-13,specimen_voucher,JM8-13,,JM8-13,,,"Erebia pharte voucher JM8-13 ribosomal protein S5 (RpS5) gene, partial cds"
KR138817,875840903,JM8-13,JM8-13,specimen_voucher,JM8-13,,JM8-13,,,"Erebia pharte voucher JM8-13 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KR231881,829625080,JM8-13,JM8-13,specimen_voucher,JM8-13,,JM8-13,,,"Erebia pharte voucher JM8-13 wingless (wgl) gene, partial cds"
KX040618,1042271781,BC_ZSM_Lep_50318,"BC ZSM Lep 50318|Germany: Bavaria, Oberbayern, Berchtesgadener Land, Ramsau bei Berchtesgaden, Grosser Hundstod|47.51 N 12.99 E|15-Jul-2003|Alfred Haslberger|Andreas Segerer",specimen_voucher|country|lat_lon|collection_date|collected_by|identified_by,BC ZSM Lep 50318,,BC ZSM Lep 50318,,,"Erebia pluto voucher BC ZSM Lep 50318 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
HQ570389,311782791,MM10584,"MM10584|Erebia polaris|Finland: Lapponia inarensis, Utsjoki|69.286 N 25.734 E|Marko Mutanen",specimen_voucher|old_name|country|lat_lon|collected_by,MM10584,,MM10584,,,"Erebia medusa polaris voucher MM10584 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KR139138,875842659,HW5-8,HW5-8,specimen_voucher,HW5-8,,HW5-8,,,"Erebia pronoe voucher HW5-8 wingless (wgl) gene, partial cds"
KR139026,875841994,HW5-8,HW5-8,specimen_voucher,HW5-8,,HW5-8,,,"Erebia pronoe voucher HW5-8 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR138912,875841389,HW5-8,HW5-8,specimen_voucher,HW5-8,,HW5-8,,,"Erebia pronoe voucher HW5-8 ribosomal protein S5 (RpS5) gene, partial cds"
KR138780,875839131,HW5-8,HW5-8,specimen_voucher,HW5-8,,HW5-8,,,"Erebia pronoe voucher HW5-8 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KR139133,875842589,HW5-10,HW5-10,specimen_voucher,HW5-10,,HW5-10,,,"Erebia rhodopensis voucher HW5-10 wingless (wgl) gene, partial cds"
KR138773,875838889,HW5-10,HW5-10,specimen_voucher,HW5-10,,HW5-10,,,"Erebia rhodopensis voucher HW5-10 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
